link,title
http://www.bbc.co.uk/,<title>BBC - Home</title>
http://www.bbc.co.uk/sport/olympics/36883479,<title>Rio 2016: New Zealander Jason Lee 'kidnapped' in Olympic Games host city - BBC Sport</title>
http://www.bbc.co.uk/sport/olympics/36881326,"<title>Rio Olympics 2016: Russian athletes are arriving, but how many will compete? - BBC Sport</title>"
http://www.bbc.co.uk/bbcthree/item/4d23f5ce-868b-4d12-8529-6fa6aaef0b7f,<title>SYLO: The things you probably don't know that could be crushing your credit rating - BBC Three</title>
http://www.bbc.co.uk/sport/formula1/36877774,<title>Lewis Hamilton changes stance on halo device after 'great' FIA presentation - BBC Sport</title>
http://www.bbc.co.uk/news/world-europe-36882445,"<title>Germany attacks: What is going on? - BBC News</title>,<title>BBC News</title>"
http://www.bbc.co.uk/news/world-36888201,"<title>What drives individuals to commit mass killings? - BBC News</title>,<title>BBC News</title>"
http://www.bbc.co.uk/news/education-36884563,"<title>Are grammar schools about to make a comeback? - BBC News</title>,<title>BBC News</title>"
http://www.bbc.co.uk/bbcthree/item/12236bae-1992-4942-97f5-a09b86e64f19,"<title>Unsolved: Episode Two, The Informant - BBC Three</title>"
http://www.bbc.co.uk/bbcthree/item/8df86ec5-6949-49a4-b8cd-36be902ec7cd,<title>Unsolved: Damien's siblings remember their brother - BBC Three</title>
http://www.bbc.co.uk/sport/tennis/36891611,<title>Rogers Cup: Nick Kyrgios beaten by Wimbledon junior champion Denis Shapovalov - BBC Sport</title>
http://www.bbc.co.uk/news/science-environment-36888541,"<title>Dutch men revealed as world's tallest - BBC News</title>,<title>BBC News</title>"
http://www.bbc.co.uk/bbcthree/tag/unsolved,<title>Unsolved - Best Of - BBC Three</title>
http://www.bbc.co.uk/proms,<title>BBC - Events - BBC Proms</title>
http://www.bbc.co.uk/newsbeat/article/36892932/binge-watching-tv-programmes-could-kill-you-according-to-japanese-scientists,"<title>
  Binge watching TV programmes could kill you, according to Japanese scientists
 - BBC Newsbeat</title>"
http://www.bbc.co.uk/help/web/links/,<title>BBC - Help - Web</title>
http://www.bbc.co.uk/contact,<title>BBC Contact Us - Home</title>
http://www.bbc.co.uk/privacy/cookies/about,<title>BBC - What is a cookie? - Privacy and Cookies </title>
http://www.bbc.co.uk/privacy,<title>BBC - Privacy &amp; Cookies - Privacy and Cookies </title>
http://www.bbc.co.uk/sport/scotland,<title>Scotland - BBC Sport</title>
http://www.bbc.co.uk/aboutthebbc,<title>BBC - About the BBC - About the BBC</title>
http://www.bbc.co.uk/iplayer/guidance,<title> BBC iPlayer  - Parental Controls </title>
http://www.bbc.co.uk/news/20039682,"<title>Contact BBC News online - help, feedback and complaints - BBC News</title>,<title>BBC News</title>"
http://www.bbc.co.uk/news/education-30483031,"<title>The persistent appeal of grammar schools - BBC News</title>,<title>BBC News</title>"
http://www.bbc.co.uk/programmes/p042mpf6,"<title> BBC Radio 4 - Today, Could drones deliver parcels safely?</title>"
https://twitter.com/intent/tweet?text=BBC+News+-+Are+grammar+schools+about+to+make+a+comeback%3F&url=http%3A%2F%2Fwww.bbc.co.uk%2Fnews%2Feducation-36884563,<title>Share a link on Twitter</title>
http://www.bbc.co.uk/news/10628323,"<title>BBC News Alerts - BBC News</title>,<title>BBC News</title>"
https://ssl.bbc.co.uk/id/status?ptrt=http%3A%2F%2Fwww.bbc.co.uk%2Fsport%2Folympics%2F36881326,<title>BBC - BBC iD</title>
https://twitter.com/intent/tweet?text=BBC+News+-+The+persistent+appeal+of+grammar+schools&url=http%3A%2F%2Fwww.bbc.co.uk%2Fnews%2Feducation-30483031,<title>Share a link on Twitter</title>
http://www.bbc.co.uk/sport/northern-ireland,<title>Northern Ireland - BBC Sport</title>
http://www.bbc.co.uk/privacy/information/protecting/your-choices.html,<title>BBC - Your data protection choices - Privacy and Cookies </title>
http://www.bbc.co.uk/sport/wales,<title>Wales - BBC Sport</title>
https://ssl.bbc.co.uk/id/status,<title>BBC - BBC iD</title>
http://www.bbc.co.uk/faqs/contacting_bbc,<title>Contacting the BBC - BBC - FAQs - Home</title>
http://www.bbc.co.uk/iplayer/categories/sport/highlights,<title> BBC iPlayer  - Sport </title>
https://ssl.bbc.co.uk/id/status?ptrt=http%3A%2F%2Fwww.bbc.co.uk%2Fnews%2Fscience-environment-36888541,<title>BBC - BBC iD</title>
https://twitter.com/BBCBreaking,<title>BBC Breaking News (@BBCBreaking) | Twitter</title>
https://www.linkedin.com/uas/login?session_redirect=https%3A%2F%2Fwww%2Elinkedin%2Ecom%2FpostLogin%3Fsession_rikey%3DoPBlAGKrVKEd6hWS9HpO-gwPktsdIPf14AN7qy4a696-5c_F9py8zOU-kX6ecS2NSgunGtne737NIM8hpAgKqkpAEXrElLa9Ao9%26l%3Dhttps%253A%252F%252Fwww%252Elinkedin%252Ecom%252FshareArticle%253Fmini%253Dtrue%2526url%253Dhttp%25253A%25252F%25252Fwww%25252Ebbc%25252Eco%25252Euk%25252Fnews%25252Feducation-30483031%2526source%253DBBC%2526title%253DThe%252Bpersistent%252Bappeal%252Bof%252Bgrammar%252Bschools%2526summary%253DWhy%252Bis%252Bthe%252Bappeal%252Bof%252Bgrammar%252Bschools%252Bso%252Bpersistent%25253F%26id%3D0%26b%3Dc67840e0-b875-4a19-8712-5c2d0443247c%26h%3DIQzi%26m%3DGET,<title>Sign In | LinkedIn</title>
https://ssl.bbc.co.uk/id/info,<title>BBC - About</title>
https://www.linkedin.com/uas/login?session_redirect=https%3A%2F%2Fwww%2Elinkedin%2Ecom%2FpostLogin%3Fsession_rikey%3D3QycYE7EeTQSk3MYguy7QriggUrLlmEn0Gzo2BXd7Q8omDxDjE96xwqdUbTsmMq7JsDveK1gYr4_PeE6sjIriBAauo7Xn8HMG8z%26l%3Dhttps%253A%252F%252Fwww%252Elinkedin%252Ecom%252FshareArticle%253Fsummary%253DHow%252Bto%252Badd%252BBBC%252BNews%252Balerts%252Bto%252Byour%252BNews%252BApp%2526mini%253Dtrue%2526source%253DBBC%2526title%253DBBC%252BNews%252BAlerts%2526url%253Dhttp%25253A%25252F%25252Fwww%25252Ebbc%25252Eco%25252Euk%25252Fnews%25252F10628323%26id%3D0%26b%3Db9448d37-7226-4b14-857d-d6f792fc3363%26h%3D4WiA%26m%3DGET,<title>Sign In | LinkedIn</title>
https://ssl.bbc.co.uk/id/signin,<title>BBC - Sign in</title>
